timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance,time_diff,cumulative_ratio,x_coord,y_coord
1970-01-01 00:28:36.987088320,-0.2994348108768463,0.5958752632141113,7.121757507324219,0.2834932506084442,-0.342615395784378,0.2392848134040832,23.58749961853028,14.25,-19.975000381469727,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,7.2e-08,0.3011780545270952,14.3,14.05860652978795
1970-01-01 00:28:36.987088374,-0.0017966089071705,-0.9893326163291932,10.392784118652344,-0.5474122762680054,-0.0737695023417472,-0.2239716500043869,23.4375,15.487500190734863,-19.475000381469727,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,5.4e-08,0.3048131942107033,14.3,14.100592393133624
1970-01-01 00:28:36.987088447,-0.3886663913726806,-1.672642946243286,10.57483959197998,0.0502005442976951,0.2454100847244262,0.3581948578357696,23.5625,15.3125,-18.61250114440918,-98.0,15517.0,-78.0,12151.0,0.0,-1.0,-54.0,3026.0,-68.0,5829.0,-85.0,20722.0,7.3e-08,0.3097273645237293,14.3,14.157351060249074
1970-01-01 00:28:36.987088539,0.8312310576438904,0.9114795923233032,8.01467227935791,0.1050616130232811,-0.2261021882295608,0.5432844161987305,24.25,15.074999809265137,-18.662500381469727,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,9.2e-08,0.3159205654661729,14.3,14.228882531134296
1970-01-01 00:28:36.987088566,1.5091514587402344,1.2815810441970823,9.353145599365234,0.1018658280372619,-0.2813627421855926,0.0416784361004829,24.162500381469727,14.350000381469728,-19.08749961853028,-88.0,16142.0,-75.0,10676.0,0.0,-1.0,-56.0,2821.0,-73.0,5321.0,-90.0,16796.0,2.7e-08,0.317738135307977,14.3,14.249875462807134
1970-01-01 00:28:36.987088646,0.837219774723053,0.6677396297454834,9.480106353759766,0.1410142630338668,-0.1691105812788009,-0.1572595238685608,23.8125,14.71250057220459,-19.037500381469727,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,8e-08,0.323123527431841,14.3,14.312076741837764
1970-01-01 00:28:36.987088716,0.5982707738876343,-0.3521353602409363,10.13886260986328,-0.2656500935554504,0.0119842141866683,-0.2781669497489929,23.412500381469727,15.77500057220459,-19.625,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,7e-08,0.327835745540222,14.3,14.366502860989565
1970-01-01 00:28:36.987088766,0.6150391101837158,-0.8815361261367798,10.997641563415527,-0.5621927976608276,-0.179230585694313,-0.1314268857240677,23.05000114440918,16.9375,-19.08749961853028,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,5e-08,0.3312016156176371,14.3,14.405378660383708
1970-01-01 00:28:36.987088847,1.2169030904769895,-1.9217727184295648,12.396002769470217,-0.084288977086544,-0.0203731656074523,0.1442100554704666,22.787500381469727,17.92500114440918,-18.137500762939453,-88.0,15741.0,-83.0,12434.0,0.0,-1.0,-56.0,2646.0,-71.0,5780.0,-96.0,18114.0,8.1e-08,0.3366543251430494,14.3,14.46835745540222
1970-01-01 00:28:36.987088918,2.652992486953736,-0.0796496644616127,9.4645357131958,0.5858949422836304,0.0347542241215705,-0.0816258192062377,23.012500762939453,17.850000381469727,-18.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,7.1e-08,0.3414338606529787,14.3,14.523561090541904
1970-01-01 00:28:36.987088979,2.067896842956543,-1.2366658449172974,9.126173973083496,-0.2549974620342254,0.3488737940788269,-0.7358307838439941,22.950000762939453,18.325000762939453,-18.3125,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,6.1e-08,0.345540222147425,14.3,14.570989565802758
1970-01-01 00:28:36.987089048,0.4407680630683899,-1.45704984664917,8.829134941101074,-0.1852227002382278,0.34714275598526,-0.4491417407989502,22.975000381469727,19.200000762939453,-16.912500381469727,-92.0,17880.0,-79.0,10086.0,0.0,-1.0,-55.0,2860.0,-69.0,5907.0,-94.0,19970.0,6.9e-08,0.3501851228542577,14.3,14.624638168966676
1970-01-01 00:28:36.987089114,0.4509488344192505,0.0892315730452537,8.4009428024292,-0.2354232370853424,0.1763011068105697,-0.1933453232049942,22.412500381469727,21.02499961853028,-15.887499809265137,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,6.6e-08,0.3546280713564455,14.3,14.675954224166944
1970-01-01 00:28:36.987089165,0.5791069269180298,0.5515589118003845,9.202230453491213,-0.1515337377786636,0.0025300008710473,-0.2091911286115646,22.30000114440918,21.52499961853028,-16.3125,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,5.1e-08,0.3580612588354088,14.3,14.715607539548971
1970-01-01 00:28:36.987089248,0.5611408352851868,0.2892540395259857,9.950818061828612,0.0284957997500896,-0.0018642111681401,-0.0201068483293056,21.83749961853028,22.05000114440918,-15.887499809265137,-98.0,14833.0,-89.0,11096.0,0.0,-1.0,-49.0,2147.0,0.0,-1.0,-97.0,20048.0,8.3e-08,0.3636486031639177,14.3,14.78014136654325
1970-01-01 00:28:36.987089311,0.8653666377067566,-0.1742710620164871,10.822173118591309,-0.1471395194530487,0.0017310532275587,-0.1014663502573967,22.14999961853028,22.14999961853028,-15.675000190734863,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,6.3e-08,0.3678895994614606,14.3,14.82912487377987
1970-01-01 00:28:36.987089367,0.5617397427558899,-1.0528128147125244,11.940861701965332,-0.0744352862238884,0.1420795172452926,0.1454084664583206,21.89999961853028,22.27499961853028,-14.71250057220459,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,5.6e-08,0.3716593739481654,14.3,14.87266576910131
1970-01-01 00:28:36.987089459,0.2593105435371399,-0.3162031769752502,11.50608253479004,0.0521979108452796,-0.1162468791007995,0.13209268450737,22.0,22.02499961853028,-14.52500057220459,-94.0,15243.0,-82.0,10003.0,0.0,-1.0,-51.0,1913.0,-75.0,5692.0,-99.0,24032.0,9.2e-08,0.3778525748906091,14.3,14.944197239986536
1970-01-01 00:28:36.987089512,-0.5473668575286865,-1.251637578010559,9.872365951538086,0.6688523292541504,-0.1725726872682571,0.4494080543518066,22.075000762939453,21.5625,-15.699999809265137,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,5.3e-08,0.381420397172669,14.3,14.985405587344328
1970-01-01 00:28:36.987089567,0.2042145431041717,-0.4940674602985382,8.715949058532715,0.2296974509954452,-0.378568023443222,0.1836248040199279,22.350000381469727,20.225000381469727,-16.600000381469727,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,5.5e-08,0.3851228542578255,14.3,15.028168966677883
1970-01-01 00:28:36.987089654,0.5174233913421631,-1.866077780723572,10.45087432861328,-0.0129163200035691,0.160189002752304,0.1438105702400207,22.075000762939453,20.575000762939453,-17.024999618530273,-98.0,14775.0,-77.0,11233.0,0.0,-1.0,-49.0,1825.0,-77.0,5605.0,-97.0,20282.0,8.7e-08,0.3909794681925277,14.3,15.095812857623695
