timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance,x_coord,y_coord
1753006497843,-0.600598454,1.1312068700790403,9.836296081542969,0.3236056268215179,0.0980437994003295,0.0558941289782524,7.631250381469727,-48.33750153,-38.04375076,-85.5,87115.5,-62.5,13480.5,-57.0,2358.0,-83.0,48943.5,-81.5,80919.0,-76.5,40759.0,15.878,4.904412289395442
1753006497908,-1.109671474,0.2799602448940277,10.747363090515137,-0.028099779,0.015882484614849,0.2672533392906189,9.356250762939451,-49.25625229,-36.78750229,-85.5,87115.5,-62.5,13480.5,-57.0,2358.0,-83.0,48943.5,-81.5,80919.0,-76.5,40759.0,15.878,4.991991080277503
1753006497973,-1.670788407,-0.564107955,11.337791442871094,-0.297338426,-0.01084285,0.272751122713089,6.468750476837158,-50.75625229,-36.1875,-86.0,87372.0,-62.0,13407.0,-57.0,2337.0,-82.0,47520.0,-84.0,80631.0,-80.0,40350.0,15.878,5.079569871159564
1753006498039,-1.667199135,-0.456430912,10.545169830322266,-0.070249453,-0.16844596,-0.052076224,6.900000095367432,-49.29375076,-36.39375305,-87.0,87253.0,-61.5,13599.0,-56.0,2340.5,-82.0,45393.5,-82.0,80489.0,-77.0,40632.0,15.878,5.167148662041626
1753006498103,-2.112862349,0.2709871530532837,9.284749984741213,-0.266489774,0.1249218508601188,0.3578140437602997,7.031250476837158,-50.38125229,-37.44375229,-88.0,87134.0,-61.0,13791.0,-55.0,2344.0,-82.0,43267.0,-80.0,80347.0,-74.0,40914.0,15.878,5.254727452923687
1753006498169,-0.912263632,-0.102891371,8.663214683532715,0.0090102553367614,-0.395229518,0.2703076601028442,4.912500381469727,-49.23750305,-37.42500305,-86.0,86458.0,-61.0,13775.0,-56.0,2355.0,-83.0,43369.5,-81.5,80537.5,-75.0,40562.5,15.878,5.342306243805749
1753006498235,-0.420538574,1.0612168312072754,7.080960273742676,0.0694858655333519,-0.285121143,0.0523816533386707,3.937500238418579,-50.55000305,-36.90000153,-86.0,86458.0,-61.0,13775.0,-56.0,2355.0,-83.0,43369.5,-81.5,80537.5,-75.0,40562.5,15.878,5.4298850346878105
1753006498300,-0.533599436,1.2975081205368042,9.1112699508667,0.2982547283172607,0.2034179717302322,0.0427605360746383,3.750000238418579,-50.40000153,-36.30000305,-84.0,85782.0,-61.0,13759.0,-57.0,2366.0,-84.0,43472.0,-83.0,80728.0,-76.0,40211.0,15.878,5.517463825569871
1753006498365,-0.151944235,0.9158528447151184,10.559526443481444,0.1948658674955368,0.0193949565291404,-0.069638588,4.59375,-50.41875076,-36.09375,-86.0,84038.0,-64.5,13717.5,-55.5,2226.0,-85.0,43233.0,-83.5,79878.5,-76.0,39527.5,15.878,5.605042616451933
1753006498429,-0.590429008,0.0119641134515404,12.11605739593506,0.0204639695584774,0.0413860902190208,-0.331852287,5.381250381469727,-50.45625305,-35.51250076,-86.0,84038.0,-64.5,13717.5,-55.5,2226.0,-85.0,43233.0,-83.5,79878.5,-76.0,39527.5,15.878,5.692621407333995
1753006498495,-0.306879491,-0.151346028,11.215758323669434,0.0647516697645187,0.2677114903926849,-0.26465717,1.1437500715255735,-51.09375381,-34.5,-88.0,82294.0,-68.0,13676.0,-54.0,2086.0,-86.0,42994.0,-84.0,79029.0,-76.0,38844.0,15.878,5.780200198216056
1753006498559,-0.872183859,-0.649053156,9.884750366210938,-0.319482267,0.136986419558525,0.0971274971961975,-2.193750143,-51.86250305,-31.76250076,-86.5,83620.5,-67.5,14665.0,-54.5,2560.5,-86.0,46387.5,-80.0,79608.5,-73.0,39495.5,15.878,5.867778989098118
1753006498624,-0.890728235,-0.359521598,8.11944580078125,-0.379805177,-0.175776348,-0.057421289,5.400000095367432,-51.41250229,-34.48125076,-85.0,84947.0,-67.0,15654.0,-55.0,3035.0,-86.0,49781.0,-76.0,80188.0,-70.0,40147.0,15.878,5.955357779980179
1753006498689,-0.40797627,0.5635097622871399,8.070392608642578,0.171194851398468,0.2035706937313079,-0.197156608,3.881250143051148,-50.64375305,-35.49375153,-85.5,84981.0,-67.0,15365.5,-54.0,2993.5,-86.0,49249.0,-77.0,79921.0,-68.5,39905.5,15.878,6.04293657086224
1753006498759,-0.385842651,1.201795220375061,8.194819450378418,0.2134972363710403,0.1803578287363052,-0.065057099,6.037500381469727,-50.70000076,-35.71875,-86.0,85015.0,-67.0,15077.0,-53.0,2952.0,-86.0,48717.0,-78.0,79654.0,-67.0,39664.0,15.878,6.130515361744302
1753006498819,-0.709471941,0.8177471160888672,10.240682601928713,0.1960875988006591,0.2422078847885131,0.2078467458486557,5.418750286102295,-51.61875153,-34.83750153,-87.0,85152.0,-68.5,15057.5,-53.5,3175.5,-86.0,47916.0,-76.5,79799.5,-67.5,39809.0,15.878,6.218094152626363
1753006498884,-1.403988719,-0.020937199,11.303693771362305,-0.175470904,0.3988946974277496,0.2455676347017288,4.40625,-52.23750305,-34.6875,-87.0,85152.0,-68.5,15057.5,-53.5,3175.5,-86.0,47916.0,-76.5,79799.5,-67.5,39809.0,15.878,6.305672943508425
1753006498949,-1.548754454,-1.368096352,11.906086921691896,-0.343458712,-0.124158263,0.0788015574216842,2.53125,-51.54375076,-33.73125076,-88.0,85289.0,-70.0,15038.0,-54.0,3399.0,-86.0,47115.0,-75.0,79945.0,-68.0,39954.0,15.878,6.393251734390486
1753006499016,-2.02073884,-0.328414917,9.948758125305176,-0.227547124,0.1221729591488838,-0.189978942,2.4750001430511475,-52.25625229,-35.02500153,-87.0,84722.5,-71.5,15414.0,-54.0,3660.0,-84.0,46607.0,-77.0,79660.5,-70.0,39571.0,15.878,6.480830525272547
1753006499080,-2.621337175,-0.08793623,9.945767402648926,-0.139429882,-0.151341751,0.0783434063196182,5.4375,-51.69375229,-36.05625153,-87.0,84722.5,-71.5,15414.0,-54.0,3660.0,-84.0,46607.0,-77.0,79660.5,-70.0,39571.0,15.878,6.568409316154609
1753006499144,-1.133001566,0.5246263742446899,7.426125049591064,0.296727567911148,-0.343764156,-0.053908817,3.6000001430511475,-52.46250153,-35.96250153,-86.0,84156.0,-73.0,15790.0,-54.0,3921.0,-82.0,46099.0,-79.0,79376.0,-72.0,39188.0,15.878,6.655988107036671
1753006499212,-1.003190875,1.2185449600219729,7.230511665344238,0.2141081094741821,0.0192422401160001,-0.063682653,1.5562500953674316,-53.38125229,-34.95000076,-84.0,83350.5,-71.0,15687.5,-57.0,3501.5,-82.5,47544.5,-81.0,78724.0,-72.5,38698.5,15.878,6.743566897918732
1753006499276,-1.756929994,1.113858938217163,9.800403594970703,0.406988650560379,0.1753181964159011,-0.111482821,2.137500047683716,-52.96875381,-34.23750305,-84.0,83350.5,-71.0,15687.5,-57.0,3501.5,-82.5,47544.5,-81.0,78724.0,-72.5,38698.5,15.878,6.8311456888007935
1753006499341,-1.933998942,0.8506484627723694,11.18106174468994,0.1744018942117691,-0.029932374,0.0106901340186595,2.9250001907348637,-54.05625153,-34.83750153,-84.0,83350.5,-71.0,15687.5,-57.0,3501.5,-82.5,47544.5,-81.0,78724.0,-72.5,38698.5,15.878,6.918724479682855
1753006499404,-1.819143414,-0.45583272,11.955738067626951,-0.239153564,-0.081092298,0.0189368072897195,3.0375001430511475,-54.26250076,-33.33750153,-82.0,82545.0,-69.0,15585.0,-60.0,3082.0,-83.0,48990.0,-83.0,78072.0,-73.0,38209.0,15.878,7.006303270564916
1753006499470,-0.696311414,-0.46719861,10.02413272857666,0.1773035079240799,-0.035277441,-0.178372517,0.862500011920929,-54.73125076,-34.33125305,-83.5,82847.5,-70.5,14598.5,-61.0,3702.0,-84.0,47222.5,-82.0,78560.0,-72.0,38459.0,15.878,7.093882061446978
1753006499536,-1.080359459,-0.271585375,8.783453941345215,-0.461813778,0.1264490038156509,0.10125083476305,1.4625000953674316,-55.14375305,-33.69375229,-83.5,82847.5,-70.5,14598.5,-61.0,3702.0,-84.0,47222.5,-82.0,78560.0,-72.0,38459.0,15.878,7.18146085232904
1753006499603,-0.856032312,-0.1477568,8.45444107055664,-0.160199285,-0.164169908,-0.132863089,-0.65625,-55.46250153,-35.55000305,-85.0,83150.0,-72.0,13612.0,-62.0,4322.0,-85.0,45455.0,-81.0,79048.0,-71.0,38709.0,15.878,7.269039643211101
1753006499665,-0.997807026,1.0713863372802734,7.491927623748779,0.0085521070286631,0.0945313274860382,-0.183564872,1.5187500715255735,-54.88125229,-35.56875229,-86.5,83601.0,-69.0,13822.0,-60.5,3670.0,-86.0,43824.0,-80.0,78617.5,-71.5,38409.0,15.878,7.356618434093162
